date,hour,timestamp,country,price
2022/01/01,00:00 - 01:00,2022-01-01 00:00:00,belgium,82.02
2022/01/01,01:00 - 02:00,2022-01-01 01:00:00,belgium,67.07
2022/01/01,02:00 - 03:00,2022-01-01 02:00:00,belgium,75.11
2022/01/01,03:00 - 04:00,2022-01-01 03:00:00,belgium,50.91
2022/01/01,04:00 - 05:00,2022-01-01 04:00:00,belgium,37.67
2022/01/01,05:00 - 06:00,2022-01-01 05:00:00,belgium,39.7
2022/01/01,06:00 - 07:00,2022-01-01 06:00:00,belgium,40.59
2022/01/01,07:00 - 08:00,2022-01-01 07:00:00,belgium,43.26
2022/01/01,08:00 - 09:00,2022-01-01 08:00:00,belgium,49.66
2022/01/01,09:00 - 10:00,2022-01-01 09:00:00,belgium,70.05
2022/01/01,10:00 - 11:00,2022-01-01 10:00:00,belgium,76.79
2022/01/01,11:00 - 12:00,2022-01-01 11:00:00,belgium,84.1
2022/01/01,12:00 - 13:00,2022-01-01 12:00:00,belgium,94.74
2022/01/01,13:00 - 14:00,2022-01-01 13:00:00,belgium,96.8
2022/01/01,14:00 - 15:00,2022-01-01 14:00:00,belgium,97.17
2022/01/01,15:00 - 16:00,2022-01-01 15:00:00,belgium,95.21
2022/01/01,16:00 - 17:00,2022-01-01 16:00:00,belgium,111.66
2022/01/01,17:00 - 18:00,2022-01-01 17:00:00,belgium,149.97
2022/01/01,18:00 - 19:00,2022-01-01 18:00:00,belgium,146.33
2022/01/01,19:00 - 20:00,2022-01-01 19:00:00,belgium,140.28
2022/01/01,20:00 - 21:00,2022-01-01 20:00:00,belgium,121.88
2022/01/01,21:00 - 22:00,2022-01-01 21:00:00,belgium,102.61
2022/01/01,22:00 - 23:00,2022-01-01 22:00:00,belgium,97.46
2022/01/01,23:00 - 00:00,2022-01-01 23:00:00,belgium,85.16
2022/01/02,00:00 - 01:00,2022-01-02 00:00:00,belgium,57.08
2022/01/02,01:00 - 02:00,2022-01-02 01:00:00,belgium,52.59
2022/01/02,02:00 - 03:00,2022-01-02 02:00:00,belgium,48.97
2022/01/02,03:00 - 04:00,2022-01-02 03:00:00,belgium,34.94
2022/01/02,04:00 - 05:00,2022-01-02 04:00:00,belgium,29.56
2022/01/02,05:00 - 06:00,2022-01-02 05:00:00,belgium,33.97
2022/01/02,06:00 - 07:00,2022-01-02 06:00:00,belgium,34.52
2022/01/02,07:00 - 08:00,2022-01-02 07:00:00,belgium,41.8
2022/01/02,08:00 - 09:00,2022-01-02 08:00:00,belgium,48.95
2022/01/02,09:00 - 10:00,2022-01-02 09:00:00,belgium,60.01
2022/01/02,10:00 - 11:00,2022-01-02 10:00:00,belgium,70.09
2022/01/02,11:00 - 12:00,2022-01-02 11:00:00,belgium,66.26
2022/01/02,12:00 - 13:00,2022-01-02 12:00:00,belgium,64.54
2022/01/02,13:00 - 14:00,2022-01-02 13:00:00,belgium,46.96
2022/01/02,14:00 - 15:00,2022-01-02 14:00:00,belgium,41.95
2022/01/02,15:00 - 16:00,2022-01-02 15:00:00,belgium,48.31
2022/01/02,16:00 - 17:00,2022-01-02 16:00:00,belgium,51.91
2022/01/02,17:00 - 18:00,2022-01-02 17:00:00,belgium,56.04
2022/01/02,18:00 - 19:00,2022-01-02 18:00:00,belgium,69.32
2022/01/02,19:00 - 20:00,2022-01-02 19:00:00,belgium,69.5
2022/01/02,20:00 - 21:00,2022-01-02 20:00:00,belgium,62.22
2022/01/02,21:00 - 22:00,2022-01-02 21:00:00,belgium,46.16
2022/01/02,22:00 - 23:00,2022-01-02 22:00:00,belgium,46.29
2022/01/02,23:00 - 00:00,2022-01-02 23:00:00,belgium,32.93
2022/01/03,00:00 - 01:00,2022-01-03 00:00:00,belgium,-0.7
2022/01/03,01:00 - 02:00,2022-01-03 01:00:00,belgium,-1.34
2022/01/03,02:00 - 03:00,2022-01-03 02:00:00,belgium,-0.99
2022/01/03,03:00 - 04:00,2022-01-03 03:00:00,belgium,-1.83
2022/01/03,04:00 - 05:00,2022-01-03 04:00:00,belgium,-1.72
2022/01/03,05:00 - 06:00,2022-01-03 05:00:00,belgium,0.0
2022/01/03,06:00 - 07:00,2022-01-03 06:00:00,belgium,35.22
2022/01/03,07:00 - 08:00,2022-01-03 07:00:00,belgium,88.5
2022/01/03,08:00 - 09:00,2022-01-03 08:00:00,belgium,96.0
2022/01/03,09:00 - 10:00,2022-01-03 09:00:00,belgium,70.5
2022/01/03,10:00 - 11:00,2022-01-03 10:00:00,belgium,90.57
2022/01/03,11:00 - 12:00,2022-01-03 11:00:00,belgium,101.33
2022/01/03,12:00 - 13:00,2022-01-03 12:00:00,belgium,97.3
2022/01/03,13:00 - 14:00,2022-01-03 13:00:00,belgium,96.2
2022/01/03,14:00 - 15:00,2022-01-03 14:00:00,belgium,100.73
2022/01/03,15:00 - 16:00,2022-01-03 15:00:00,belgium,117.23
2022/01/03,16:00 - 17:00,2022-01-03 16:00:00,belgium,128.57
2022/01/03,17:00 - 18:00,2022-01-03 17:00:00,belgium,148.49
2022/01/03,18:00 - 19:00,2022-01-03 18:00:00,belgium,162.12
2022/01/03,19:00 - 20:00,2022-01-03 19:00:00,belgium,123.91
2022/01/03,20:00 - 21:00,2022-01-03 20:00:00,belgium,120.7
2022/01/03,21:00 - 22:00,2022-01-03 21:00:00,belgium,111.01
